Date,mean_temp_K,total_precip_mm
1986-01-02,278.83633059811433,0.0008531947059964295
1986-01-03,278.04615244304307,0.0008597435225965455
1986-01-06,274.77489824752314,0.012615896852676
1986-01-07,269.41641178973947,0.0782619998995995
1986-01-08,270.95789010237917,0.0
1986-01-09,274.65173800659755,0.0008642728630547936
1986-01-10,276.6132894172268,0.1845821841090567
1986-01-13,278.16998485787695,0.0008463858875984442
1986-01-14,279.23725969845685,0.0004351138045421976
1986-01-15,279.37043123354795,0.000852346317969932
1986-01-16,283.16509408476065,0.0025741464924067
1986-01-17,281.9823145100958,0.0021512681200874
1986-01-20,284.35850910140425,0.0008591484750297695
1986-01-21,283.95173791909616,0.0012904404798064
1986-01-22,275.18388670588104,0.0004410743663640915
1986-01-23,277.9641326223931,0.007159181470809
1986-01-24,282.6515425455048,0.0032736262062143
1986-01-27,274.46183248831716,0.00042915701214951696
1986-01-28,281.2261429782044,0.000852346317969932
1986-01-29,280.2696897479515,0.0
1986-01-30,283.68583634292503,0.0
1986-01-31,285.588819463188,0.0013046301319263
1986-02-03,281.7973273516536,1.6791629350193191
1986-02-04,280.8252692252953,5.183185417206303
1986-02-05,277.00554479147826,0.4585901982730946
1986-02-06,274.823317202755,0.5341572116987738
1986-02-07,272.0901160948927,6.499792962998126
1986-02-10,263.583467423836,2.547336851592038
1986-02-11,261.04743082151936,0.1726993526386762
1986-02-12,261.17565988232406,0.1639948953283589
1986-02-13,269.6691345824953,0.1670703285732555
1986-02-14,270.67070007373513,0.5773005208974689
1986-02-18,286.6706953338838,0.0021417190509964
1986-02-19,287.3068434937318,0.00021457708498928696
1986-02-20,279.7281465235334,0.3390903801589195
1986-02-21,269.8046501657128,0.0519986697038308
1986-02-24,282.17252208022285,2.810628857618512e-05
1986-02-25,286.91840004975296,0.0021433615415844
1986-02-26,287.8539921870362,0.0017084870478356
1986-02-27,284.1351178343756,0.1509253713068238
1986-02-28,278.4217232195971,0.0331660095275467
1986-03-03,283.41250725629504,1.702676782123738
1986-03-04,282.37309492314046,0.0
1986-03-05,284.54213456764535,4.704908535238368e-05
1986-03-06,283.6354589828139,0.0013053416587638
1986-03-07,279.9240035434957,0.0020401629625751
1986-03-10,285.785365782645,1.292632511555299
1986-03-11,286.6851910546697,0.1911475057723455
1986-03-12,282.81220408256877,5.4641496397845755
1986-03-13,279.4080965309753,0.0602815117531305
1986-03-14,280.07187557836573,0.5738946243370486
1986-03-17,284.3023890141024,1.321905239931522
1986-03-18,280.3694108897189,3.3789765983495084
1986-03-19,276.47071820487,0.0153143501787819
1986-03-20,275.47912239692874,3.218013690858272
1986-03-21,278.70618078655826,0.0035979733122747
1986-03-24,286.9018141573808,0.0004351138045421976
1986-03-25,291.60517211761,2.2864760131964984e-05
1986-03-26,286.8207993205043,0.1254309468502483
1986-03-27,287.51398518444677,0.0062715582026983
1986-03-31,293.1340671359357,0.2210970954727048
1986-04-01,286.9775429571798,0.5963475322988431
1986-04-02,286.84954007928155,3.708484873453277
1986-04-03,288.21916446882506,2.296405506841004
1986-04-04,284.08309125576534,0.104781636884709
1986-04-07,293.17261139680625,0.0450432163037328
1986-04-08,289.44243833508847,0.7963109128998943
1986-04-09,284.4631365588473,3.217583845021912
1986-04-10,284.96628830354314,0.90139806323379
1986-04-11,285.53994802187793,0.6354122146904182
1986-04-14,283.46294053438146,0.0004351138613856165
1986-04-15,282.38512287112553,0.0008612871056357108
1986-04-16,284.2112044221205,0.0076580271535169
1986-04-17,290.7321095224762,2.002072159107221
1986-04-18,287.5760900494882,0.1859759483544515
1986-04-21,287.06251526447977,0.632827877097788
1986-04-22,288.56860845429,0.0351866771333337
1986-04-23,294.5104228774351,0.5370311768881917
1986-04-24,294.92644405075976,0.0631452349854075
1986-04-25,295.62788515052625,0.0184885292582097
1986-04-28,286.2518203041811,0.0479377808839163
1986-04-29,292.778579813539,0.00043433134464183096
1986-04-30,294.4248007796018,0.0013074140019771
1986-05-01,289.80541143310484,0.0004270947478404532
1986-05-02,290.718778963721,0.5568721498867228
1986-05-05,295.57807191582634,0.6303593048489666
1986-05-06,293.5195079595288,6.179849393558146e-06
1986-05-07,296.9197438240253,0.4361203592069909
1986-05-08,294.10829469381156,6.507607992756538
1986-05-09,290.9542755037605,0.0281321780560718
1986-05-12,295.7919806174525,0.1551964082779798
1986-05-13,292.3706681152522,0.9319041157176342
1986-05-14,293.0437179663739,10.463586797656433
1986-05-15,290.9815064749114,0.9694725358918544
1986-05-16,292.2043690965654,0.9932786404904148
1986-05-19,289.57716020622684,0.0623045628998696
1986-05-20,292.4050547759107,0.0293012911401956
1986-05-21,293.7269797298137,0.0376275538045146
1986-05-22,295.2126595891465,0.0319729338599288
1986-05-23,292.8574543483644,0.0853977644230212
1986-05-27,287.1480066500762,2.04273957166656
1986-05-28,288.4276927079885,7.551969759876245
1986-05-29,288.4320116904078,1.4199188674984995
1986-05-30,290.35387643677905,0.189674998258988
1986-06-02,291.1297118545215,14.34906869071282
1986-06-03,292.67904606551497,3.404380885007551
1986-06-04,294.0455239522891,1.710445804369504
1986-06-05,293.7652635780235,3.0131203676146794
1986-06-06,295.551171959571,0.7730463059122707
1986-06-09,295.3843399262214,8.39902834574401
1986-06-10,293.47684810187747,2.464645570231354
1986-06-11,292.61960615540335,0.0198334716973479
1986-06-12,295.2618857387828,0.0004424152580061645
1986-06-13,298.31374911911126,0.7448426435891407
1986-06-16,300.0324930755668,0.5498329948646212
1986-06-17,298.68227155058423,0.1391774177724388
1986-06-18,297.7738701238786,0.1763560687044691
