name,pomdp_total,pomdp_sharpe,bh_total,bh_sharpe
CL1_no_hurricane,0.13765850912207217,0.13563607522985552,1.3724817822848148,0.3856461334661033
CL1_hurricane,0.13752779307775026,0.2712872336897986,1.3724817822848148,0.3856461334661033
CL1_logreturns,0.1330228020118434,0.14206550223471112,1.3724817822848148,0.3856461334661033
CL1_simplereturns,-0.18256899922535552,-0.20478719687804858,0.41608143605471626,0.042400461049126294
CL2_no_hurricane,0.1972906279091492,0.07572409160697037,0.7424735565225543,0.18983737669021453
CL2_hurricane,-0.979192408891947,-0.40703036226654254,0.7424735565225543,0.18983737669021453
CL2_logreturns,0.351063420485029,0.21299341787964995,0.7424735565225543,0.18983737669021453
CL2_simplereturns,-0.13608428974379733,-0.6590050250884384,1.7542007100313284,0.4357948870919425
CL3_no_hurricane,-0.20930123584241483,-0.21061027336260493,0.7135997365281368,0.22295449893486538
CL3_hurricane,-0.22581660708027831,-0.2536336133631533,0.7135997365281368,0.22295449893486538
CL3_logreturns,-0.3023338356328039,-0.2573667769598164,0.7135997365281368,0.22295449893486538
CL3_simplereturns,-0.3780790023313701,-0.20823161673330312,1.3793402055057893,0.4374615338666059
CL4_no_hurricane,-0.06136281475461294,-0.1501829902876603,0.6842613925755737,0.22953214896813642
CL4_hurricane,-0.31569018913972313,-0.20036407273922344,0.6842613925755737,0.22953214896813642
CL4_logreturns,-0.25056673004825575,-0.21420096773980674,0.6842613925755737,0.22953214896813642
CL4_simplereturns,-0.1613060900057236,-0.17606330892230576,1.2623686196213346,0.42972950111153196
