Date,mean_temp_K,total_precip_mm
1986-01-02,280.6871723015529,0.0008545332720614791
1986-01-03,279.29885254133853,0.0008614115818468383
1986-01-06,278.1768434224623,0.159462545106827
1986-01-07,274.8196014169225,0.4443590536469614
1986-01-08,271.59620417450685,0.0389968219118486
1986-01-09,273.7045980574755,0.1551266202926263
1986-01-10,276.8269704221196,0.0394594519089959
1986-01-13,279.2269509881078,0.0008532250776198162
1986-01-14,281.3793437061086,0.0004351138045421976
1986-01-15,281.20838578465555,0.000852346317969932
1986-01-16,286.05187483585536,0.2979345061032046
1986-01-17,284.94936300653353,1.4523414380986268
1986-01-20,285.32568585408814,0.0008591484750297695
1986-01-21,288.24851116462725,0.0014601231661277
1986-01-22,280.1287637030412,0.0568544903837186
1986-01-23,278.66190623758877,0.00169238986164
1986-01-24,283.15936625697174,0.1008335464238571
1986-01-27,274.36243288975083,0.00042915701214951696
1986-01-28,280.44903991282627,0.000852346317969932
1986-01-29,282.86404749508404,5.090480589640699e-05
1986-01-30,281.04958257501113,0.0
1986-01-31,286.77248232535845,0.1043565824259297
1986-02-03,288.8126172873087,15.511208387956488
1986-02-04,287.362725048528,4.697122323226291
1986-02-05,282.8657509652286,3.4149406629179064
1986-02-06,279.88308948835487,7.176218778221604
1986-02-07,277.6585252195106,4.493458407951851
1986-02-10,269.1504078249925,4.8770999078557296
1986-02-11,266.32694074287986,0.0763119248887372
1986-02-12,267.9216329642103,0.1256146662160941
1986-02-13,272.0604084063092,0.1755730802872136
1986-02-14,277.3669165643017,1.4066272412682954
1986-02-18,288.652460671217,0.0021417190509964
1986-02-19,289.4434520006656,0.0002735370326394697
1986-02-20,288.6951366829862,0.0099070259105418
1986-02-21,276.7509548737732,0.0743448424114151
1986-02-24,284.22988873268287,0.0313113769942612
1986-02-25,287.31926814829825,0.0021433615415844
1986-02-26,289.98713244724297,0.0019090430669987
1986-02-27,287.8259172349677,0.2390478065127757
1986-02-28,280.40749417563967,0.0660173757349104
1986-03-03,285.9200784939146,0.5866608420394849
1986-03-04,284.3392050722444,0.0059565425350047
1986-03-05,286.4509849916535,0.0130338303279131
1986-03-06,285.6687113903058,0.0013047341557035
1986-03-07,285.75427087463623,0.0290873573252666
1986-03-10,291.16302562697166,1.257302766826095
1986-03-11,288.07692592468214,8.079014305856932
1986-03-12,287.45864377689315,9.727097662062471
1986-03-13,284.6924714582108,0.6480356688834294
1986-03-14,283.9326696175912,0.7148571693428055
1986-03-17,288.7230273188236,0.6223147319447174
1986-03-18,288.49231077445535,8.846637803450104
1986-03-19,282.17635089625225,0.0147657133518703
1986-03-20,279.26259742747135,0.6849865519999624
1986-03-21,279.6309366966412,0.0150994241893731
1986-03-24,289.12783673810907,0.0004351138045421976
1986-03-25,290.25438683911875,0.0008631044568406543
1986-03-26,290.39862724762105,1.1739162715221771
1986-03-27,289.93111934893295,0.105952776723559
1986-03-31,293.9231597072762,0.3187753142312717
1986-04-01,291.480630310386,3.756714404981567
1986-04-02,290.20848213330436,12.147946214501651
1986-04-03,291.66213379707676,8.167170946668996
1986-04-04,290.171597799813,9.585854158642569
1986-04-07,295.7615308164832,1.0745099829502918
1986-04-08,294.20150705728486,4.041688055102349
1986-04-09,287.3255157371241,1.866378941702593
1986-04-10,286.4324222873406,1.895776434393662
1986-04-11,288.29044677567583,1.9193092347785048
1986-04-14,290.4965786975021,2.516046071529641
1986-04-15,285.8133266391975,0.0008615871797865567
1986-04-16,286.526834864909,0.0087634412720884
1986-04-17,290.35389966473144,2.80418736576951
1986-04-18,291.8696644252627,4.367471613010125
1986-04-21,288.23463738103294,0.0917187170109373
1986-04-22,287.5385793189757,0.0613821951157669
1986-04-23,291.5714697044056,0.3065498172495732
1986-04-24,295.0012603640029,0.2537114967277669
1986-04-25,295.63113215626646,0.30177818880751
1986-04-28,289.8624594537693,2.708885235259107
1986-04-29,294.8463751059003,0.5384717463295062
1986-04-30,295.69382543913866,5.248184283757077
1986-05-01,292.8381443984814,10.475448858856891
1986-05-02,291.7908187055032,2.0535377212569723
1986-05-05,295.9920151716631,0.4285197494474208
1986-05-06,297.39098541515676,1.5331911093753758
1986-05-07,297.49846210988505,2.3686043475396614
1986-05-08,295.82079440630235,10.553850338982304
1986-05-09,294.45115072441234,4.735638216885477
1986-05-12,296.8142384167803,0.1714569565309903
1986-05-13,296.66340492539643,2.0916914714082075
1986-05-14,295.51092174719753,8.153817625421436
1986-05-15,295.4945362092403,12.870256882567578
1986-05-16,296.5918775878658,2.606981504760385
1986-05-19,289.97915691665685,0.0469836191160472
1986-05-20,292.20317044145264,0.2403940282102823
1986-05-21,294.49639735105177,0.531958144173404
1986-05-22,296.9533342952666,0.1502412011990206
1986-05-23,297.24600105920655,0.8731263494184658
1986-05-27,291.38796859145197,4.577110487326563
1986-05-28,291.7756293996289,1.9675261457973836
1986-05-29,293.43953581139397,1.7946914010733044
1986-05-30,294.3640918128231,4.273501376325902
1986-06-02,294.4567606413743,9.89228454920004
1986-06-03,295.18425926299534,8.34312202977048
1986-06-04,295.9944042976821,8.749057229000499
1986-06-05,295.6369679956325,12.692971034517951
1986-06-06,296.6703808948403,5.763633611511771
1986-06-09,297.4444464780315,5.376706632281031
1986-06-10,298.6732474244649,4.670362855950352
1986-06-11,296.51241502779044,5.4933255502747125
1986-06-12,296.83163988566326,0.0153714452263638
1986-06-13,298.7029692211449,0.0355811264653114
1986-06-16,299.16781238690936,3.7933693871249585
1986-06-17,297.8174164420477,6.881539378878924
1986-06-18,298.29996977988554,2.743111106818686
