Date,mean_temp_K,total_precip_mm
1986-01-02,282.7937811673468,0.0008596482407034132
1986-01-03,282.3573267806982,0.0015637239844244
1986-01-06,281.6721589756991,0.0208843033036863
1986-01-07,277.90767213211296,5.020630677102924
1986-01-08,271.97537337960904,2.9052476044576
1986-01-09,272.8225690447773,0.178129270341843
1986-01-10,275.84770047238135,0.0021395559774448
1986-01-13,279.9632936650626,0.0008463858875984442
1986-01-14,281.26969386363254,0.0004351138045421976
1986-01-15,283.5050086463295,0.0033248956682588
1986-01-16,284.90705434067473,1.4782091504948631
1986-01-17,283.7580408028073,0.1826438384263916
1986-01-20,286.26501769441853,0.0008591484750297695
1986-01-21,288.01510576538016,0.0013122164544263
1986-01-22,283.3550744109064,0.0008162914643427543
1986-01-23,282.39291718696137,0.0013905881769629
1986-01-24,286.5304754536244,0.0090934297445208
1986-01-27,280.3263679805732,0.00042915701214951696
1986-01-28,284.51157359218837,0.000852346317969932
1986-01-29,286.2305232746314,0.0
1986-01-30,284.04903563953144,0.0001132901085938518
1986-01-31,287.03674774038177,0.0136317285571388
1986-02-03,287.0183513172121,6.512229212543551
1986-02-04,285.23724183401146,0.3371227030424648
1986-02-05,282.5819345534038,2.0658936983693548
1986-02-06,280.9494434139468,0.4093278794475779
1986-02-07,282.38766753770676,0.3595216153143703
1986-02-10,274.94413070445614,5.698920840190381
1986-02-11,272.3344594000756,0.0363541201560794
1986-02-12,274.84608150550406,0.0614047444752417
1986-02-13,278.71796180658885,0.0657381063447497
1986-02-14,284.45869511659373,0.0271569877813759
1986-02-18,290.97118295847935,0.0021417190509964
1986-02-19,293.16458541587707,0.00021457708498928696
1986-02-20,293.2770792325674,1.29564314898535e-05
1986-02-21,287.2172953140808,0.0022851023486649
1986-02-24,288.02981626147124,-5.556273663387401e-06
1986-02-25,290.0653886854162,0.0021433615415844
1986-02-26,292.1241472325678,0.0017084870478356
1986-02-27,289.5908996341838,0.0127677239773217
1986-02-28,284.684203606314,0.0028029412129088
1986-03-03,290.0344280171302,0.4582580080133025
1986-03-04,286.0736734829091,0.0517500053700772
1986-03-05,288.11465655765005,0.076902316320058
1986-03-06,287.9245420162702,0.0013726261579886
1986-03-07,290.094191348008,0.1138913789421942
1986-03-10,291.55620230016996,0.0134507524516276
1986-03-11,291.0621401654715,0.7897849395225991
1986-03-12,286.9876706552049,0.3181786334668037
1986-03-13,285.4137779793924,1.0970064682512106
1986-03-14,283.95521480193423,1.4723704101207518
1986-03-17,290.1224213100856,0.207713607264949
1986-03-18,286.00227095782645,2.5318942493457457
1986-03-19,282.312933326232,0.57937688500636
1986-03-20,281.79001115984073,0.3425993303776559
1986-03-21,283.91275189254793,0.0096311286066985
1986-03-24,289.5636131166356,0.0004351138045421976
1986-03-25,290.27812521684854,0.0180860272584944
1986-03-26,291.16642502322924,0.1638438002380376
1986-03-27,290.8453796956288,0.1344019155942375
1986-03-31,294.5106164952182,0.0749555042458504
1986-04-01,293.5087683009121,0.3257064427963762
1986-04-02,292.1024724275898,4.069886719209106
1986-04-03,291.9227645843957,0.73779087995462
1986-04-04,290.1351597516029,0.1101719198715498
1986-04-07,296.3163859909238,0.3157321463789803
1986-04-08,297.29709069795575,0.5589515107422058
1986-04-09,289.90882180829107,3.926259406293106
1986-04-10,288.6666376704744,1.532284058362371
1986-04-11,292.27562485997913,0.0833828216135124
1986-04-14,294.56430084486607,0.0334140399187398
1986-04-15,291.4373176586869,0.0150384279482759
1986-04-16,292.6226837977086,0.9232512659480532
1986-04-17,294.3231230920568,1.4994741843934951
1986-04-18,293.85991776669397,0.1577142004165271
1986-04-21,292.20459814051384,0.0012624998028245
1986-04-22,293.25130797412174,0.0236811923285017
1986-04-23,295.5910027462077,0.6620171308559216
1986-04-24,295.58846431330846,0.4033367185866324
1986-04-25,295.7072964378422,0.4071119670570131
1986-04-28,293.7702585146692,0.1593692716341907
1986-04-29,296.4255312506798,2.1410607299533355
1986-04-30,295.6185603319141,3.199918677467846
1986-05-01,295.01271367824705,0.7657321614985508
1986-05-02,293.8887380443901,0.3121158475713679
1986-05-05,296.67367520638055,1.1835298731991886
1986-05-06,297.93567907662407,0.5827183030074605
1986-05-07,298.3480653205411,0.5994918944863658
1986-05-08,295.9738844195198,0.8521259207525861
1986-05-09,293.1065062610047,6.909392711380018
1986-05-12,298.6292208731703,0.237040654384142
1986-05-13,298.68409243197544,0.2020351297982813
1986-05-14,298.7464088650406,0.4374872202830098
1986-05-15,298.4334661995229,0.1723355351239169
1986-05-16,298.1717043867189,0.5714334481017112
1986-05-19,291.63836703653493,3.0897690357361285e-08
1986-05-20,295.38626307576334,0.000991268952541089
1986-05-21,298.44125077254023,0.0476352966767708
1986-05-22,300.2649413351044,0.0747734323310968
1986-05-23,299.8395376457122,0.396696479094615
1986-05-27,291.6329893667225,5.040311487708185
1986-05-28,291.63734069868815,0.2822227761199031
1986-05-29,294.2763507215005,4.597263582434068
1986-05-30,292.7377650165996,20.326728244893783
1986-06-02,292.9801975399561,10.896382375665334
1986-06-03,293.13857392491155,7.246590482178688
1986-06-04,294.64054758735375,3.2116256365491207
1986-06-05,295.58569352845547,6.288853371914126
1986-06-06,296.9813992734755,2.9187079797802253
1986-06-09,297.4987645752246,2.3168439090271225
1986-06-10,298.17653624318075,0.4663597489286543
1986-06-11,296.1034795174648,3.580198263668634
1986-06-12,296.5032306891403,0.6628719099239788
1986-06-13,297.6376490864904,0.4085943975331017
1986-06-16,300.1797985028933,0.8085013910937344
1986-06-17,297.8741444240764,6.08507112989892
